state,direction,id,official_name,official_class,source_path,source_sha256
PLAY,CLIENTBOUND,0x79,system_chat,net.minecraft.network.protocol.game.ClientboundSystemChatPacket,net/minecraft/network/protocol/game/ClientboundSystemChatPacket.java,86d97b70b961d5e7a6f17d99593e3db1668e2a32764d99a72f298b8c67935912
PLAY,CLIENTBOUND,0x7A,tab_list,net.minecraft.network.protocol.game.ClientboundTabListPacket,net/minecraft/network/protocol/game/ClientboundTabListPacket.java,54c27baa0e35386700933e5ac6f2a92b76841e15874157709ad1b74e73d9c275
PLAY,CLIENTBOUND,0x7B,tag_query,net.minecraft.network.protocol.game.ClientboundTagQueryPacket,net/minecraft/network/protocol/game/ClientboundTagQueryPacket.java,416504eddd5df05b4eb506ce8f889ffa15c21f7f3a6deb593c4512acc7eef9bb
PLAY,CLIENTBOUND,0x7C,take_item_entity,net.minecraft.network.protocol.game.ClientboundTakeItemEntityPacket,net/minecraft/network/protocol/game/ClientboundTakeItemEntityPacket.java,62d785c35f3b2cb84dd43fdd7de2c72d31aa65105e41692ce04f40148cc27c6e
PLAY,CLIENTBOUND,0x7D,teleport_entity,net.minecraft.network.protocol.game.ClientboundTeleportEntityPacket,net/minecraft/network/protocol/game/ClientboundTeleportEntityPacket.java,b9e58ac34e2c5a3ad15f72f6ed506dd6a95e34201574bf1d7f818eaf1c73b738
PLAY,CLIENTBOUND,0x7E,test_instance_block_status,net.minecraft.network.protocol.game.ClientboundTestInstanceBlockStatus,net/minecraft/network/protocol/game/ClientboundTestInstanceBlockStatus.java,6ca3466feb86386d555229aaeb1710a2ba08a1fcd1498dac4f5f0a4984d4effb
PLAY,CLIENTBOUND,0x7F,ticking_state,net.minecraft.network.protocol.game.ClientboundTickingStatePacket,net/minecraft/network/protocol/game/ClientboundTickingStatePacket.java,2c9d38370d6495d1e7df1342d7ad7c2d61b8abfe6642f240106147747e17ce42
PLAY,CLIENTBOUND,0x80,ticking_step,net.minecraft.network.protocol.game.ClientboundTickingStepPacket,net/minecraft/network/protocol/game/ClientboundTickingStepPacket.java,a25a2d177441db3ccfb61ed9f8618d207b1f4b5e2f929c137801178e52a2efdb
PLAY,CLIENTBOUND,0x81,transfer,net.minecraft.network.protocol.common.ClientboundTransferPacket,net/minecraft/network/protocol/common/ClientboundTransferPacket.java,a6469a8b24124d6b6505a82468f9a41cea0a6f87cd41973e089cc10f11287510
PLAY,CLIENTBOUND,0x82,update_advancements,net.minecraft.network.protocol.game.ClientboundUpdateAdvancementsPacket,net/minecraft/network/protocol/game/ClientboundUpdateAdvancementsPacket.java,2e00fdb6e1d0bf6aa981cee322e3d840113430e9ed18c01546af8c04e7e9e5db
PLAY,CLIENTBOUND,0x83,update_attributes,net.minecraft.network.protocol.game.ClientboundUpdateAttributesPacket,net/minecraft/network/protocol/game/ClientboundUpdateAttributesPacket.java,c0d67aca439b20cbf0604e8fa6816385f14f46562cb458c660f3df4edbfd155f
PLAY,CLIENTBOUND,0x84,update_mob_effect,net.minecraft.network.protocol.game.ClientboundUpdateMobEffectPacket,net/minecraft/network/protocol/game/ClientboundUpdateMobEffectPacket.java,a038ecd827fe0c381c997f0fe2c6bed2f10bb5e31f1ea6d951bb9cc1cfd39f93
PLAY,CLIENTBOUND,0x85,update_recipes,net.minecraft.network.protocol.game.ClientboundUpdateRecipesPacket,net/minecraft/network/protocol/game/ClientboundUpdateRecipesPacket.java,640facad534c0328b6e519b386d2b8fe32bdb4e5a06614972dc11a05184d767a
